,Location,Name,Category,Description,Latitude,Longitude,coords,xy_coords,x,y
28,"330 East Road, Silt, CO 81652, USA",National Forest outside Glenwood Springs,Wild Camping,"Free.  National Forest camping off a dirt road, with good views in all directions.  Quiet, only sound you hear are distant cows.  No facilities.",39.331221,-107.66824,"(39.331221, -107.66824)","(-11985573.651407968, 4769227.803048878)",-11985573.651407968,4769227.803048878
29,"Co Rd 67, Maybell, CO 81640, USA",Wild Horse Area,Wild Camping,"Free camping in the middle of the Sand Wash Wild Horse area.  No facilities, BLM land.  This spot is next to a small natural pond where lots of wild horses and other animals like pronghorn come to drink.",40.679653,-108.398995,"(40.679653, -108.398995)","(-12066920.925902607, 4965204.765828834)",-12066920.925902607,4965204.765828834
30,"Forest Rd 539, Utah, USA",Flaming Gorge national Forest,Wild Camping,Free wild camping in Flaming Gorge.  Great mountain scenery.  ,40.848644,-109.706122,"(40.848644, -109.706122)","(-12212429.637944747, 4990042.256430126)",-12212429.637944747,4990042.256430126
41,"Tonto National Forest, Highline Trail, Pine, AZ 85544, USA",Pine Trailhead,Wild Camping,"Free camping with access to great hiking, drop toilet on site. Brewery with great food and free wifi short walk away. ",34.374055,-111.443445,"(34.374055, -111.443445)","(-12405827.54964819, 4079139.7447972964)",-12405827.54964819,4079139.7447972964
43,"Monongahela National Forest, Forest Road 18, Hambleton, WV 26269, USA",Big Run Falls,Wild Camping,"This is a primitive site located along a forest road in Monongahela National Forest. The forest road is graded in sections, but is unimproved in other sections. Four-wheel drive may not be required, but is strongly recommended. The site is marked by a fire circle, and a large, deteriorating picnic table. There is room for roughly a half dozen vehicles, or a couple of modately-sized off-road campers. While we've never encountered other campers there, it is evidently a popular spot. It is a superb destination for hiking, biking, and exploring. There are a number of amazing waterfalls in the immediate vicinity.",39.10823,-79.56955,"(39.10823, -79.56955)","(-8857641.788649922, 4737186.469926972)",-8857641.788649922,4737186.469926972
44,"US-95, Nevada, USA","Rest Stop After Tonopah, NV",Informal Campsite,"Rest area with basic amenities: restrooms, picnic table, parking area for RVs.",38.140570000000004,-117.45378000000001,"(38.140570000000004, -117.45378000000001)","(-13074894.98134518, 4599302.715563543)",-13074894.98134518,4599302.715563543
45,"U.S. 40, Duchesne, UT 84021, USA",Rest Stop On Highway 40,Informal Campsite,Free parking,40.204231,-110.713002,"(40.204231, -110.713002)","(-12324515.006834678, 4895665.107112415)",-12324515.006834678,4895665.107112415
48,"Cherry Tree Camp, Munford, AL 36268, USA",Cherry Tree Hunter's Camp ,Wild Camping,"Small open area in the forest, no creeks or other water sources. Has a quality fire ring, and plenty of space for tents. thick pine canopy stops underbrush from growing too thick. Really pleasant campsite. ",33.48236,-85.88734000000001,"(33.48236, -85.88734000000001)","(-9560934.954388756, 3959505.6075625443)",-9560934.954388756,3959505.6075625443
51,"Redwood Hwy, Trinidad, CA 95570, USA",Trinidad County Rest Area,Informal Campsite,"Apparently in California, you can stay at a State rest area for up to 8 hours. The rest area has running water, picnic tables and flush toilets. Another nice thing to find out, is that you can use stoves (either at the picnic tables, or outside of your vehicle). They are patrolled by both state troopers and highway patrol and I would think are pretty safe. California has a lot of vagabond travelers through (vehicle, bicycle and foot) so be sure to lock your stuff up. These rest areas may be just the thing for the camper trying to put in a long day, or one that has run out of affordable options.",41.09215,-124.15018,"(41.09215, -124.15018)","(-13820334.819493258, 5025943.284052418)",-13820334.819493258,5025943.284052418
55,"United States, North Carolina, Montgomery",Top of Daniel at Uwharrie National Forest,Wild Camping,Free site since its National Forest land. Takes a fairly capable 4x4 vehicle to get up the trail. Cleared campsite with rock fire pits at the top. Primitive camping,35.41813,-80.033146,"(35.41813, -80.033146)","(-8909249.05930372, 4220849.523867879)",-8909249.05930372,4220849.523867879
56,"1701-1749 11th Ave, Seattle, WA 98122, USA",Cal Anderson Park ,Wild Camping,"We rolled into Capitol Hill, Seattle thinking that it would be easy to poach a spot on the street, only to find that the streets were all over crowded with bumper to bumper parking. We did find the Gold mine though - Cal Anderson Park, just off of Broadway and Pike Street - One of the places where Grunge Rock started. Cal Anderson park was nominated for some kind of ""wholesome award"" and was indeed a fantastic place to park for the night (in small Camper Van style -Not a place for big rigs). The pay parking ends at 20:00 and then it is free until 08:00 weekdays and weekends. It is located right beside the park itself which has a well lit Soccer field (lights out around 23:00), Tennis courts, basketball, a walking area, and is well used by Seattle-ites. There are some fantastic pubs like The Unicorn, or Nuemo's (Nirvana played there) a couple blocks away on Pike Street. The parking spots are Back in- Horizontal spots, so again- No Big rigs (Sorry). ",47.61649,-122.31823,"(47.61649, -122.31823)","(-13616403.078334518, 6043287.945360091)",-13616403.078334518,6043287.945360091
65,"NF-3530, Government Camp, OR 97028, USA",Devil's Half Acre Meadow,Wild Camping, Primitive road. One fire pit. Enough space for multiple tents and vehicles. Big open meadow. Another area across the road as well.  Road is closed during the snow season. ,45.271716999999995,-121.68151999999999,"(45.271716999999995, -121.68151999999999)","(-13545524.845351532, 5664399.680084102)",-13545524.845351532,5664399.680084102
66,"BLM251, Utah, USA",Near Batty Pass Caves,Wild Camping,"Near the base of Fifty-Mile mountain. Two large, flat, primitive sites can accommodate fairly large groups. This location is very near Batty Pass caves, three old rancher caves worth visiting if you are in the area. This location is also near (on the other side of the Hole-in-the-Rock road) Peek-a-boo and Spooky gulches (part of the upper end of Coyote gulch), two popular, short, and excellent non-technical slot canyons. Dogs are allowed in this location, but note that if you are here for Coyote Gulch features, dogs are not allowed there.",37.45375,-111.25953999999999,"(37.45375, -111.25953999999999)","(-12385355.338693852, 4502543.825794941)",-12385355.338693852,4502543.825794941
67,"United States, San Juan, Brushy Basin Rd",West of Blanding,Wild Camping,Very scenic overlook.,37.6382,-109.56979,"(37.6382, -109.56979)","(-12197253.229125919, 4528440.932659234)",-12197253.229125919,4528440.932659234
70,"United States, Colorado, Hinsdale, County Road 142",Camping On Burr Trail,Wild Camping,"Free camping , nice views",38.017395,-107.314311,"(38.017395, -107.314311)","(-11946174.455350997, 4581883.434489212)",-11946174.455350997,4581883.434489212
71,"United States, Texas, Webb, US-83 S",Flying J,Informal Campsite,"A great last stop in USA before crossing into Mexico. Free to camp , pay showers ( $12) , internet $ 1.99 for an hour. ",27.684820000000002,-99.465064,"(27.684820000000002, -99.465064)","(-11072400.276200365, 3209294.6030729176)",-11072400.276200365,3209294.6030729176
72,"Robson Ranch Rd, Aguila, AZ 85320, USA",Near Robsons Mining World,Wild Camping,"ADMIN NOTE: Permits needed for overnight stay.

-------------------------

A desert camping location that is tucked back in the trees. Dry camp.  The nearby attraction has a restaurant with limited hours. Interesting glimpse into mining life. ",34.01193,-113.12459,"(34.01193, -113.12459)","(-12592971.754997848, 4030404.046170212)",-12592971.754997848,4030404.046170212
73,"S San Joaquin Rd, Tucson, AZ 85735, USA","Snyder Hill, Tucson, AZ",Wild Camping,"This is a piece of BLM land northeast of the junction of San Joaquin Rd and W Ajo Highway. To the southwest of Tuscon. The area is accessed from the San Joaquin Rd and is criss crossed with gravel tracks. It is fairly level and covered in small desert trees and bushes so it is possible to remain unseen from the adjacent roads if your vehicle is not too high. It is also possible to pitch a tent as there was one here at the same time as me. There are no facilities what-so-ever and traffic noise can be heard from the Ajo Highway. The use of the site is free. The co-ordinates are 32.156941, -111.116493.",32.157740000000004,-111.11581899999999,"(32.157740000000004, -111.11581899999999)","(-12369356.39015755, 3784034.310288006)",-12369356.39015755,3784034.310288006
76,"United States, Arizona, Yavapai, Agua Fria National Monument",Agua Fria National Monument,Wild Camping,"Lots of areas for off road camping with solitude. Road starts off easy, but 4wd / high clearance needed further on & on side roads. Bloody Basin exit off I-17. Archaeological site too that you can walk around. ",34.245599,-112.024622,"(34.245599, -112.024622)","(-12470523.877348952, 4061827.8391377446)",-12470523.877348952,4061827.8391377446
79,"United States, North Carolina, Haywood, Hurricane Creek Rd",Hurricane Creek Camp,Wild Camping,"Trail directly off I40 in NC. Camp site just about a mile in from interstate.  You turn off interstate at the end of guard rail, not an exit.  Boondock camping. Large low hanging branches, not ok if you are taller than 8 feet. ",35.718790999999996,-83.01459799999999,"(35.718790999999996, -83.01459799999999)","(-9241142.777768305, 4261996.118175971)",-9241142.777768305,4261996.118175971
81,"United States, I-10 E",New Mexico Welcome Center,Informal Campsite,Free to camp out in their parking lot overnight. A couple of other people camped here also night we were here. Clean bathrooms open all night. Noisy (right by highway)  but convenient & free. ,32.3528,-108.742847,"(32.3528, -108.742847)","(-12105198.355450857, 3809710.7258890173)",-12105198.355450857,3809710.7258890173
83,"United States, California, Kern, CA-58 E","Boron State Rest Area, Eastbound",Informal Campsite,"This is a State Rest Area, so note that there are signs that state maximum 8 hour stay, which is common with all State Rest Areas. Pretty easy to stay longer though as it would be state troopers that ask you to move along, and they are few and far between. 

The Rest area has a paved ring road with parking spots under small trees, within short walking distance to picnic tables. As well, a large gravel area circles most of the paved road as well, so many large units can pull over. The west side of the Rest area also has some trees that one can pull their vehicle between to get more shade/ wind cover. Semi trailers have a separate lot to park in.

The washrooms are clean enough for a high traffic Rest area, but staff were there early cleaning up (so use the facilities after they clean). Garbages are all over the place, as are the shaded and non-shaded tables. No outside water source found, but there are vending machines on site. 

Good place, but It was a little loud. The trucks (of course) run all night and there is a train that passes the Rest area once every hour (at least). There must be an unmarked crossing on the tracks, as the trains blow their horn three or four times each time. ",35.00666,-117.71851000000001,"(35.00666, -117.71851000000001)","(-13104364.590142885, 4164786.2482979256)",-13104364.590142885,4164786.2482979256
84,"US-90, Marfa, TX 79843, USA",Marfa Mystery Lights Viewpoint ,Informal Campsite,"A large pull out rest area with tables, restrooms and seating designed for the overnight viewing of the Marfa Lights. Overnight parking in all Texas rest areas is legal, but this one truly expects it! Added bonus is seeing the lights on the horizon. We did!!           Highway noise and trains can be a disruption. Also lots of viewers pulling on/off the road may be an issue. None of this bothered us, but be aware. No charge for this location. ",30.275446999999996,-103.884001,"(30.275446999999996, -103.884001)","(-11564314.092887921, 3539005.3514515073)",-11564314.092887921,3539005.3514515073
91,"United States, Oregon, Sherman, John Day Dam Rd",Rufus,Informal Campsite,"North side of I-84 @ Rufus. Was a CoE Park that apparently got turned over to a county that can't afford to maintain it. Pit toilet. No water (other than the river.) Paved to the east, sand to the west. Blackberrys in mid/late summer.",45.700959999999995,-120.72985,"(45.700959999999995, -120.72985)","(-13439585.425548298, 5732556.669495628)",-13439585.425548298,5732556.669495628
92,"Celilo Park Rd, The Dalles, OR 97058, USA",Celilo Park,Informal Campsite,"Tribal Park. Informal parking lot camping. Toilets, potable water. Salmon for sale by the tribes occasionally.",45.65116,-120.95855,"(45.65116, -120.95855)","(-13465044.19309272, 5724622.5088948775)",-13465044.19309272,5724622.5088948775
99,"2511 Jacaman Rd, Laredo, TX 78045, USA",Staybridge Suites,Informal Campsite,"Free! We stayed at Mc Donalds for free Wifi and saw this little Lake behind the Staybridge Suites. Quiet in the Night, no traffic..",27.55896,-99.447171,"(27.55896, -99.447171)","(-11070408.4365516, 3193481.672765468)",-11070408.4365516,3193481.672765468
100,"United States, Arizona, Yavapai, Soda Springs Rd",Coconino Forest Arizona,Informal Campsite,"Free Trailer Parkingmeter,nice",34.676579,-111.71945,"(34.676579, -111.71945)","(-12436552.285704587, 4120015.921069374)",-12436552.285704587,4120015.921069374
103,"Muley Point Rd, Mexican Hat, UT 84531, USA",Muley Point,Wild Camping,"This area is full of great wild camp options but this is one of our favorites even though the secret seems to be out so you will probably not be alone. It can get windy up here but the views are unbeatable. Only amenity here is fire pits. For an unforgettable drive, head north off the 163 through the valley of the gods (road turns off 7.5 miles north of Mexican Hat) on your way here. Roads in are dirt and not suitable for huge rigs. ",37.233296,-109.99328100000001,"(37.233296, -109.99328100000001)","(-12244396.031601453, 4471675.321850672)",-12244396.031601453,4471675.321850672
109,"Arizona Trail, Flagstaff, AZ 86001, USA",Marshall Lake Dispersed Camping,Wild Camping,Open camp sites in the middle of a tall pine forest. About 5 minutes off Lake Mary Road. Huge open areas with lots of places to choose from. Some spots have rock fire pits. ,35.103164,-111.54154299999999,"(35.103164, -111.54154299999999)","(-12416747.769056026, 4177909.57226573)",-12416747.769056026,4177909.57226573
110,"Forest Service Rd 302, Grand Canyon Village, AZ 86023, USA",Kaibab Forest Dispersed Camping,Wild Camping,Free camping at about a dozen sites in pine forest with dire circles.,35.966931,-112.12467,"(35.966931, -112.12467)","(-12481661.169763837, 4296072.082157356)",-12481661.169763837,4296072.082157356
113,"1-35 Peacock Ln, Cloudcroft, NM 88317, USA",Lincoln National Forest Wild Camp ,Wild Camping,"Lots of pull outs off this forest road to camp. We chose this one with a meadow, fire ring and a pile of wood. Near Rim Trail trail head. Free and very remote. ",32.903124,-105.77153600000001,"(32.903124, -105.77153600000001)","(-11774433.527942406, 3882452.3429507376)",-11774433.527942406,3882452.3429507376
116,"Lafitte Greenway Trail, New Orleans, LA 70112, USA",New Orleans Parking Lot ,Informal Campsite,"
Behind Basin Street Visitor Centre, walking distance to famous French Quarter. The best place to spend a night if you are totally self-contained as there are no RV facilities. Paid parking: $5/10 hours or $10/24 hours for trucks and vans, $50/24 hours for RVs. Quiet during the night, we felt safe the night we stayed there. Right next to us is the French Quarter RV Resort where campers pay close to $100/night! 

Bathrooms available when the Visitor Centre is open (8:30-5:30).

Weekend prices are a bit higher I believe. ",29.961181,-90.070846,"(29.961181, -90.070846)","(-10026640.712039363, 3498560.9982926724)",-10026640.712039363,3498560.9982926724
120,"1043 Conti Street, New Orleans, LA 70112, USA",Premium Parking Lot Nr. 338,Informal Campsite,"It is very difficult to find a good overnight place in the center of New Orleans. We stayed on a parking lot at the edge of the French Quarter for 6 USD for 10 hours on daytime and 15 USD for 12 hours during evening and the night. There is no security. No facilities but surprisingly quiet during night. The only central campground ""French Quarter RV Resort"" would have cost around 100 USD/night!!!",29.958058,-90.070183,"(29.958058, -90.070183)","(-10026566.907216966, 3498159.728938703)",-10026566.907216966,3498159.728938703
121,"1227 NW Evangeline Throughway, Lafayette, LA 70501, USA",Lafayette - Walmart No Overnight Parking,Informal Campsite,No Overnight Parking on the parking lot of Walmart. ,30.239165999999997,-92.014725,"(30.239165999999997, -92.014725)","(-10243032.332483098, 3534329.596693122)",-10243032.332483098,3534329.596693122
127,"Low Rd, Calipatria, CA 92233, USA",Slab City,Wild Camping,Love it or hate it!  its s great place in the desert to meet others or just get some solitude.,33.25827,-115.4632,"(33.25827, -115.4632)","(-12853304.629361905, 3929635.376467018)",-12853304.629361905,3929635.376467018
128,"Unnamed Road, Mammoth Lakes, CA 93546, USA",Mammoth Lakes I Laurel Springs,Wild Camping,A couple of free campsites and a nice little creek. ,37.61728,-118.89583,"(37.61728, -118.89583)","(-13235423.25304362, 4525500.502117891)",-13235423.25304362,4525500.502117891
129,"Casa Diablo Road, Bishop, CA 93514, USA",Bishop I Volcanic Tablelands,Wild Camping,Free BLM camping near Bishop. Great place for rock climbing!,37.427479999999996,-118.42232,"(37.427479999999996, -118.42232)","(-13182712.360958096, 4498860.674061708)",-13182712.360958096,4498860.674061708
130,"Inyo National Forest, Buttermilk Road, Bishop, CA 93514, USA",Bishop I Buttrmilk Country,Wild Camping,Free camping in the Inyo National forest.,37.32833,-118.57923000000001,"(37.32833, -118.57923000000001)","(-13200179.50225847, 4484971.103326104)",-13200179.50225847,4484971.103326104
131,"Tahoe National Forest, Overlook Road, Nevada City, CA 95959, USA",Nevada City Omega Scenic Viewpoint Rest area,Wild Camping,There's a scenic overlook near Nevada City. It's a USFS area with some picnic tables. No reception for T-mobile.,39.31497,-120.75266,"(39.31497, -120.75266)","(-13442124.623133294, 4766889.270834409)",-13442124.623133294,4766889.270834409
132,"Forest Rd 1N44, Lee Vining, CA 93541, USA",Mono Lake,Wild Camping,ADMIN NOTE: Do NOT camp here! Camping here is ILLEGAL and is harmful to the environment. This entry is only kept to warn users about this.,37.94489,-119.09353,"(37.94489, -119.09353)","(-13257431.116373451, 4571643.540722671)",-13257431.116373451,4571643.540722671
133,"Movie Road, California, USA",Lone Pine,Wild Camping,"Free dispersed camping. With Hiking Trails, Horse Trails and Rock Climbing Area. Nice place to stay on US 395.",36.62771,-118.12641,"(36.62771, -118.12641)","(-13149771.81043746, 4387340.628182228)",-13149771.81043746,4387340.628182228
134,"Cottonwood Springs Road, Indio, CA 92201, USA",Joshua Tree South BLM,Wild Camping,"Free Campsites at south entrance of the NP. The National Park has potable water and dump for $5.
Its BLM Land....so no problem for overnight camp.....official overflow camp for yoshuatree Park
",33.67453,-115.80265,"(33.67453, -115.80265)","(-12891092.030511681, 3985182.6346362564)",-12891092.030511681,3985182.6346362564
135,"Painted Canyon Road, California, USA",Painted Canyons I Mecca,Wild Camping,Free desert camping. Can be soft sand at times and hot in the summer.,33.6193,-116.00008000000001,"(33.6193, -116.00008000000001)","(-12913069.837579, 3977797.1529596797)",-12913069.837579,3977797.1529596797
136,"Cascade Rd, Joshua Tree, CA 92252, USA",Joshua Tree North BLM,Wild Camping,Big open flat area in a dry lake bed surrounded by mountains,34.17293,-116.22466000000001,"(34.17293, -116.22466000000001)","(-12938069.968821354, 4052046.003467167)",-12938069.968821354,4052046.003467167
137,"Box Canyon Road, Mecca, CA 92254, USA",Box Canyon,Wild Camping,"Very nice area with soft sand, very quiet during the day and at night. Beware: This is a flash flood area!!!",33.58684,-115.97716000000001,"(33.58684, -115.97716000000001)","(-12910518.394850016, 3973458.73627422)",-12910518.394850016,3973458.73627422
138,"482 Tsali Boulevard, Cherokee, NC 28719, USA",Cherokee Casino Parking Lot,Informal Campsite,"Huge parking lot of the Casino, officially you are allowed to stay here for one night if you are joining the casino. We didn't and no one asked us to do so. There were a lot of other RVs. Quiet night. Free. No facilities. ",35.467721000000004,-83.296922,"(35.467721000000004, -83.296922)","(-9272570.941687027, 4227625.62397108)",-9272570.941687027,4227625.62397108
155,"Squaw Hollow Rd, McKinnon, WY 82938, USA",Flaming George / Green River No. 4,Wild Camping,"Wild camping at the river. There is a simple toilet / no showers. We were almost alone out there. No checkpoint but a reminder to pay a daily fee of 5 dollars or 15 dollars a week you put in a mailbox. Beautiful and clean. At the Wyoming site, No. 4",41.165040000000005,-109.557759,"(41.165040000000005, -109.557759)","(-12195913.944332186, 5036715.588473716)",-12195913.944332186,5036715.588473716
161,"5271 Owls Nest Road, Kane, PA 16735, USA",Owls Nest ,Wild Camping,old 1928 natural gas town.  part of Allegheny National Forest.  center of overland camping for me.  many great dispersed campsites ,41.471412,-78.888152,"(41.471412, -78.888152)","(-8781788.910262367, 5082125.468204235)",-8781788.910262367,5082125.468204235
163,"Interstate 84, Boardman, OR 97818, USA",rest area,Informal Campsite,"kids playground, bathrooms, free coffee sometimes and a good place to rest.",45.82942,-119.80298700000002,"(45.82942, -119.80298700000002)","(-13336407.508353174, 5753055.666319717)",-13336407.508353174,5753055.666319717
166,"Old New Mexico 52, Magdalena, NM 87825, USA","Sweet Spot, Cibola NF, NM",Wild Camping,"Great mountain top spot in pine forest, with a view of the desert valley. Not too far off of Hwy 60, and just off gravel US Forest Service road. Gravel road is in good shape, however we did use 4wd to get up steep road to camp site. Perfect spot to relax for a day or more. Go for a hike, or just enjoy the view. Price....FREE. Other camping in area if you don't love this spot.",33.910963,-107.514867,"(33.910963, -107.514867)","(-11968500.247146532, 4016852.788969343)",-11968500.247146532,4016852.788969343
167,"NF-522, Flagstaff, AZ 86001, USA","Coconino NF, Dispersed Camping",Wild Camping,"14 or so(sites 10-14 closed when we were here) sites in beautiful pine forest just 10 miles outside of downtown Flagstaff. Great mountain views, trails, and even rock climbing if you're into that. Best of all....free!",35.2926,-111.704196,"(35.2926, -111.704196)","(-12434854.218192026, 4203715.7522821585)",-12434854.218192026,4203715.7522821585
168,"Cottonwood Canyon Rd, Utah, USA","Cottonwood Canyon, BLM",Wild Camping,Nice little spot about 25 miles outside of Bryce Canyon in BLM land. Tucked away near stream and in the shade of a few trees. Free! Clean!,37.322792,-111.882778,"(37.322792, -111.882778)","(-12454733.875496872, 4484195.845565333)",-12454733.875496872,4484195.845565333
169,"Muley Point Rd, Mexican Hat, UT 84531, USA",Muley Point,Wild Camping,"As Song of the Road stated, there are a few nice spots here. We stayed just about 1km from the place they camped. Super flat, awesome views, level and a great fire pit/tower. Maybe this place has been discovered, but we were alone here in the middle of summer. Not to be missed!",37.23857,-109.981633,"(37.23857, -109.981633)","(-12243099.382172694, 4472412.7438962655)",-12243099.382172694,4472412.7438962655
170,"Forest Road 092, Utah, USA",Bear Pooh Overlook,Informal Campsite,"Looking for a free spot with a great view? Don't mind a little leveling, or possibly sharing the spot with some fury brown friends? This spot could be for you. Just off Forest Service road, fire pit, and has a GREAT view of the Utah landscape(hoodoos, etc). Not too far from Natural Bridge National Monument and kinda on the way to Canyonlands NP. ",37.66145,-109.83176599999999,"(37.66145, -109.83176599999999)","(-12226416.264045976, 4531709.830138949)",-12226416.264045976,4531709.830138949
173,"Portage Glacier Rd, Girdwood, AK 99587, USA",Wild Camp in Portage Valley,Wild Camping,"Nice little spot right next to a glacial pond. The adjacent forest is really green and nice to walk in, but there are quite a few mosquitos. There is a walking trail (Trail of Blue Ice) on the other side of the highway that we took all the way up to Byron Glacier and back. It’s a great path and was about 10 miles round trip. The spot by the forest is the best spot, but every night it seems like several other campers accumulate in the open area at the entry to the spot. No big deal and everyone has been friendly. Lots of locals come and trout fish in the lake. We saw several bald eagles and a moose went for a swim in the pond one morning just after breakfast. We have been traveling for 6 weeks straight, so we decided to take a break for a bit. We ended up staying here for 6 nights. Great spot. We came by here 8 years ago and thought it was a nice spot, so we returned. Glad we did. Decent cell coverage.",60.792588,-148.90038,"(60.792588, -148.90038)","(-16575514.480524939, 8578353.05862381)",-16575514.480524939,8578353.05862381
